	dt	approach	database_code
0	2001-01-15	min_ar_rev_dt	dewiki
1	2001-01-15	min_ar_rev_dt	mlwiki
2	2001-01-15	min_ar_rev_dt	arwiktionary
3	2001-01-15	min_rev_dt	enwiki
4	2001-01-15	min_rev_dt	arwiki
5	2001-02-23	min_ar_rev_dt	enwikibooks
6	2001-03-08	min_rev_dt	elwiki
7	2001-03-17	least_rev	cawiki
8	2001-04-07	min_ar_rev_dt	enwiktionary
9	2001-05-19	min_ar_rev_dt	eswiki
10	2001-05-23	min_rev_dt	svwiki
11	2001-06-01	min_rev_dt	frwiki
12	2001-06-08	min_rev_dt	ptwiki
13	2001-06-25	min_rev_dt	enwikisource
14	2001-07-27	min_rev_dt	bgwiki
15	2001-08-07	min_rev_dt	nlwiki
16	2001-08-09	min_ar_rev_dt	simplewiki
17	2001-08-14	min_rev_dt	bhwiki
18	2001-08-14	min_rev_dt	hiwiki
19	2001-08-18	min_ar_rev_dt	knwiki
20	2001-08-24	min_rev_dt	itwiki
21	2001-08-28	min_rev_dt	nlwikibooks
22	2001-09-06	min_rev_dt	dewikiversity
23	2001-09-06	min_rev_dt	dewikibooks
24	2001-09-26	min_ar_rev_dt	plwiki
25	2001-10-05	min_ar_rev_dt	nowiki
26	2001-10-19	min_rev_dt	viwikibooks
27	2001-10-25	min_rev_dt	enwikiversity
28	2001-11-06	min_rev_dt	dewiktionary
29	2001-11-16	min_ar_rev_dt	eowiki
30	2001-11-16	min_rev_dt	afwiki
31	2001-12-06	min_rev_dt	euwiki
32	2002-01-15	min_rev_dt	frwikibooks
33	2002-02-11	min_rev_dt	dawiki
34	2002-02-18	min_rev_dt	frwikiversity
35	2002-02-24	min_rev_dt	cawiktionary
36	2002-02-25	min_ar_rev_dt	tewiki
37	2002-02-28	min_ar_rev_dt	siwiki
38	2002-03-09	min_rev_dt	frwiktionary
39	2002-03-14	min_rev_dt	frwikiquote
40	2002-03-24	min_ar_rev_dt	plwikibooks
41	2002-04-17	min_rev_dt	jawiki
42	2002-04-23	min_ar_rev_dt	commonswiki
43	2002-05-15	min_rev_dt	eswiktionary
44	2002-05-22	min_rev_dt	lawiki
45	2002-05-31	min_ar_rev_dt	gdwiki
46	2002-06-01	min_ar_rev_dt	dzwiki
47	2002-06-02	least_rev	azwiki
48	2002-06-02	least_rev	bawiki
49	2002-06-02	min_rev_dt	aswiki
50	2002-06-03	min_ar_rev_dt	lnwiki
51	2002-06-03	min_ar_rev_dt	mgwiki
52	2002-06-03	min_rev_dt	kywiki
53	2002-06-03	min_rev_dt	orwiki
54	2002-06-03	min_ar_rev_dt	mnwiki
55	2002-06-03	least_rev	newiki
56	2002-06-03	least_rev	kkwiki
57	2002-06-03	min_rev_dt	fjwiki
58	2002-06-03	least_rev	hawiki
59	2002-06-03	min_rev_dt	kuwiki
60	2002-06-03	min_rev_dt	ikwiki
61	2002-06-03	least_rev	kmwiki
62	2002-06-03	least_rev	rwwiki
63	2002-06-03	min_ar_rev_dt	fowiki
64	2002-06-03	min_rev_dt	pawiki
65	2002-07-23	min_rev_dt	iawiki
66	2002-08-24	min_rev_dt	etwiki
67	2002-08-27	min_rev_dt	fiwiki
68	2002-09-07	min_rev_dt	fywiki
69	2002-09-17	min_rev_dt	plwiktionary
70	2002-09-19	min_ar_rev_dt	alswiki
71	2002-09-30	min_rev_dt	guwiki
72	2002-10-03	min_rev_dt	frwikisource
73	2002-10-11	min_rev_dt	kowiki
74	2002-10-23	min_ar_rev_dt	yiwiki
75	2002-10-23	min_rev_dt	yowiki
76	2002-10-24	least_rev	mywiki
77	2002-10-26	least_rev	mswiki
78	2002-10-26	min_rev_dt	zhwiki
79	2002-11-07	min_rev_dt	ruwiki
80	2002-11-14	min_rev_dt	cswiki
81	2002-11-16	min_rev_dt	viwiki
82	2002-11-19	min_rev_dt	itwiktionary
83	2002-11-20	min_ar_rev_dt	frwikinews
84	2002-11-26	min_ar_rev_dt	pswiki
85	2002-12-03	min_ar_rev_dt	omwiki
86	2002-12-05	least_rev	trwiki
87	2002-12-06	min_ar_rev_dt	iswiki
88	2002-12-12	min_ar_rev_dt	bswiki
89	2002-12-12	min_rev_dt	elwiktionary
90	2002-12-12	min_rev_dt	scowiki
91	2002-12-13	min_rev_dt	lawiktionary
92	2002-12-19	min_rev_dt	itwikibooks
93	2002-12-19	min_rev_dt	amwiki
94	2002-12-23	min_rev_dt	mlwikiquote
95	2002-12-23	least_rev	shwiki
96	2003-01-04	min_rev_dt	enwikiquote
97	2003-01-04	min_rev_dt	ukwiki
98	2003-01-04	min_rev_dt	skwiki
99	2003-01-04	min_rev_dt	hewiki
100	2003-01-04	min_rev_dt	nlwiktionary
101	2003-01-04	min_ar_rev_dt	hewikibooks
102	2003-01-04	min_rev_dt	hywiki
103	2003-01-22	min_rev_dt	dewikiquote
104	2003-01-24	min_rev_dt	idwiki
105	2003-01-25	min_rev_dt	jvwiki
106	2003-02-03	min_rev_dt	zuwiki
107	2003-02-08	min_rev_dt	vowiki
108	2003-02-16	least_rev	srwiki
109	2003-02-16	min_rev_dt	hrwiki
110	2003-02-20	min_rev_dt	ltwiki
111	2003-03-07	min_ar_rev_dt	swwiki
112	2003-03-08	min_rev_dt	glwiki
113	2003-03-12	min_rev_dt	glwiktionary
114	2003-03-13	min_rev_dt	klwiki
115	2003-03-15	min_rev_dt	thwiki
116	2003-03-16	min_rev_dt	ocwiki
117	2003-03-27	min_rev_dt	glwikiquote
118	2003-04-11	min_rev_dt	iuwiki
119	2003-04-15	min_rev_dt	lawikibooks
120	2003-04-24	min_rev_dt	nlwikisource
121	2003-04-27	leart_ar_rev	ndswiki
122	2003-04-29	min_ar_rev_dt	mkwiki
123	2003-05-01	min_ar_rev_dt	mrwiki
124	2003-06-06	min_rev_dt	lvwiki
125	2003-06-09	min_rev_dt	xhwiki
126	2003-06-16	least_rev	gnwiki
127	2003-06-22	min_rev_dt	wawiktionary
128	2003-06-22	min_rev_dt	wawiki
129	2003-06-26	min_rev_dt	srwiktionary
130	2003-06-27	min_rev_dt	wowiki
131	2003-07-08	min_rev_dt	huwiki
132	2003-07-10	least_rev	slwiki
133	2003-07-11	min_rev_dt	hewikisource
134	2003-07-12	min_rev_dt	cywiki
135	2003-07-12	min_rev_dt	rowiki
136	2003-07-14	min_rev_dt	cawikibooks
137	2003-07-15	min_rev_dt	ptwikibooks
138	2003-07-19	least_rev	lowiki
139	2003-07-22	min_rev_dt	biwiki
140	2003-07-24	min_rev_dt	svwiktionary
141	2003-07-26	min_rev_dt	kswiki
142	2003-08-02	min_ar_rev_dt	eswikibooks
143	2003-08-06	min_rev_dt	glwikisource
144	2003-08-09	min_ar_rev_dt	nawiki
145	2003-08-10	min_rev_dt	nahwiki
146	2003-08-11	min_rev_dt	gawiki
147	2003-09-14	min_ar_rev_dt	tetwiki
148	2003-09-18	least_rev	stwiki
149	2003-09-20	min_ar_rev_dt	ttwiki
150	2003-09-20	least_rev	gvwiki
151	2003-09-20	min_rev_dt	hewiktionary
152	2003-09-24	min_rev_dt	simplewikibooks
153	2003-09-28	min_ar_rev_dt	tawiki
154	2003-10-09	min_rev_dt	simplewiktionary
155	2003-10-12	min_rev_dt	sqwiki
156	2003-10-12	least_rev	abwiki
157	2003-10-24	min_ar_rev_dt	svwikisource
158	2003-10-25	min_rev_dt	suwiki
159	2003-10-30	min_rev_dt	jawikibooks
160	2003-11-02	min_ar_rev_dt	crwiki
161	2003-11-10	min_ar_rev_dt	mswiktionary
162	2003-11-11	min_rev_dt	twwiki
163	2003-11-19	min_ar_rev_dt	quwiki
164	2003-11-24	min_rev_dt	dewikisource
165	2003-11-24	min_rev_dt	lawikisource
166	2003-11-25	min_rev_dt	miwiki
167	2003-11-26	leart_ar_rev	zhwikisource
168	2003-11-26	min_ar_rev_dt	urwiki
169	2003-11-29	min_ar_rev_dt	kawiki
170	2003-11-29	min_rev_dt	eswikisource
171	2003-11-30	least_rev	aywiki
172	2003-11-30	min_rev_dt	cowiki
173	2003-12-03	min_rev_dt	jawikisource
174	2003-12-05	min_ar_rev_dt	slwiktionary
175	2003-12-05	min_rev_dt	fywiktionary
176	2003-12-05	min_rev_dt	kowiktionary
177	2003-12-05	min_rev_dt	skwiktionary
178	2003-12-05	min_ar_rev_dt	shwiktionary
179	2003-12-05	min_ar_rev_dt	gdwiktionary
180	2003-12-05	min_rev_dt	hiwiktionary
181	2003-12-05	min_rev_dt	ocwiktionary
182	2003-12-05	min_rev_dt	gvwiktionary
183	2003-12-05	min_ar_rev_dt	dawiktionary
184	2003-12-05	min_ar_rev_dt	nahwiktionary
185	2003-12-05	min_rev_dt	hewikiquote
186	2003-12-05	min_rev_dt	jawiktionary
187	2003-12-05	min_rev_dt	mlwiktionary
188	2003-12-05	min_rev_dt	viwikiquote
189	2003-12-05	min_rev_dt	viwiktionary
190	2003-12-05	min_ar_rev_dt	hrwiktionary
191	2003-12-05	min_ar_rev_dt	trwiktionary
192	2003-12-05	min_rev_dt	huwiktionary
193	2003-12-05	min_rev_dt	ltwiktionary
194	2003-12-05	min_rev_dt	kawiktionary
195	2003-12-05	min_rev_dt	eowiktionary
196	2003-12-05	min_rev_dt	ruwiktionary
197	2003-12-05	min_rev_dt	rowiktionary
198	2003-12-05	min_rev_dt	zhwiktionary
199	2003-12-05	min_ar_rev_dt	bswiktionary
200	2003-12-05	min_rev_dt	cswiktionary
201	2003-12-05	leart_ar_rev	cywiktionary
202	2003-12-05	min_rev_dt	fiwiktionary
203	2003-12-06	min_rev_dt	rowikisource
204	2003-12-08	min_ar_rev_dt	ptwikisource
205	2003-12-12	min_ar_rev_dt	itwikisource
206	2003-12-13	min_rev_dt	sqwiktionary
207	2003-12-13	min_rev_dt	fawiki
208	2003-12-14	min_ar_rev_dt	bgwiktionary
209	2003-12-15	min_rev_dt	nowiktionary
210	2003-12-17	min_rev_dt	ugwiki
211	2003-12-17	min_ar_rev_dt	afwiktionary
212	2003-12-18	min_rev_dt	iawiktionary
213	2003-12-18	min_rev_dt	etwiktionary
214	2003-12-18	min_rev_dt	ptwiktionary
215	2003-12-18	min_ar_rev_dt	hiwikibooks
216	2003-12-19	min_ar_rev_dt	cawikiquote
217	2003-12-20	min_rev_dt	mlwikisource
218	2003-12-21	least_rev	sawiki
219	2003-12-21	min_rev_dt	ruwikisource
220	2003-12-21	min_rev_dt	glwikibooks
221	2003-12-21	least_rev	uzwiki
222	2003-12-24	min_ar_rev_dt	idwiktionary
223	2003-12-25	min_rev_dt	bowiki
224	2003-12-25	min_rev_dt	thwiktionary
225	2003-12-26	min_ar_rev_dt	sdwiki
226	2003-12-26	min_ar_rev_dt	bnwiki
227	2003-12-26	min_rev_dt	rmwiki
228	2004-01-01	min_ar_rev_dt	skwikibooks
229	2004-01-04	min_rev_dt	tlwiki
230	2004-01-06	min_rev_dt	zhwikibooks
231	2004-01-12	min_ar_rev_dt	tawiktionary
232	2004-01-15	min_rev_dt	towiki
233	2004-01-19	min_rev_dt	vecwiki
234	2004-01-25	min_rev_dt	tkwiki
235	2004-01-27	min_rev_dt	sswiki
236	2004-01-27	least_rev	tgwiki
237	2004-01-29	min_ar_rev_dt	quwiktionary
238	2004-01-29	min_ar_rev_dt	wowiktionary
239	2004-01-29	least_rev	kkwiktionary
240	2004-01-29	min_rev_dt	towiktionary
241	2004-01-29	leart_ar_rev	klwiktionary
242	2004-01-29	min_rev_dt	lowiktionary
243	2004-01-29	min_rev_dt	pswiktionary
244	2004-01-29	min_rev_dt	kmwiktionary
245	2004-01-29	min_ar_rev_dt	xhwiktionary
246	2004-01-29	min_rev_dt	knwiktionary
247	2004-01-29	min_ar_rev_dt	iswiktionary
248	2004-01-29	min_ar_rev_dt	rmwiktionary
249	2004-01-29	min_rev_dt	amwiktionary
250	2004-01-29	min_rev_dt	tnwiki
251	2004-01-29	leart_ar_rev	iuwiktionary
252	2004-01-29	min_ar_rev_dt	kswiktionary
253	2004-01-29	min_ar_rev_dt	pawiktionary
254	2004-01-29	min_rev_dt	yowiktionary
255	2004-01-29	min_ar_rev_dt	rowikinews
256	2004-01-29	min_ar_rev_dt	yiwiktionary
257	2004-01-29	min_rev_dt	tnwiktionary
258	2004-01-29	min_ar_rev_dt	jvwiktionary
259	2004-01-29	min_ar_rev_dt	rnwiki
260	2004-01-29	min_ar_rev_dt	tlwiktionary
261	2004-01-29	leart_ar_rev	lnwiktionary
262	2004-01-29	min_ar_rev_dt	kywiktionary
263	2004-01-29	min_ar_rev_dt	rnwiktionary
264	2004-01-29	min_ar_rev_dt	kuwiktionary
265	2004-01-29	min_ar_rev_dt	mywiktionary
266	2004-01-29	min_ar_rev_dt	vowiktionary
267	2004-01-29	min_ar_rev_dt	ukwiktionary
268	2004-01-29	min_ar_rev_dt	ikwiktionary
269	2004-01-29	leart_ar_rev	mgwiktionary
270	2004-01-29	min_rev_dt	snwiktionary
271	2004-01-29	min_rev_dt	sowiki
272	2004-01-29	leart_ar_rev	bewiktionary
273	2004-01-29	min_rev_dt	sowiktionary
274	2004-01-29	min_ar_rev_dt	fawiktionary
275	2004-01-29	min_rev_dt	cowiktionary
276	2004-01-29	min_ar_rev_dt	euwiktionary
277	2004-01-29	leart_ar_rev	sswiktionary
278	2004-01-29	min_ar_rev_dt	ugwiktionary
279	2004-01-29	min_rev_dt	nawiktionary
280	2004-01-29	min_ar_rev_dt	snwiki
281	2004-01-29	min_ar_rev_dt	stwiktionary
282	2004-01-29	min_ar_rev_dt	suwiktionary
283	2004-01-29	min_ar_rev_dt	bhwiktionary
284	2004-01-29	min_rev_dt	biwiktionary
285	2004-01-29	min_rev_dt	ttwiktionary
286	2004-01-29	min_rev_dt	tgwiktionary
287	2004-01-29	least_rev	miwiktionary
288	2004-01-29	min_ar_rev_dt	tswiktionary
289	2004-01-29	min_rev_dt	dzwiktionary
290	2004-01-29	min_rev_dt	tswiki
291	2004-01-29	min_ar_rev_dt	bnwiktionary
292	2004-01-29	min_rev_dt	swwiktionary
293	2004-01-29	min_ar_rev_dt	mkwiktionary
294	2004-01-29	leart_ar_rev	bowiktionary
295	2004-01-29	leart_ar_rev	twwiktionary
296	2004-01-29	leart_ar_rev	fowiktionary
297	2004-01-29	min_ar_rev_dt	fjwiktionary
298	2004-01-29	min_rev_dt	urwiktionary
299	2004-01-29	min_rev_dt	tkwiktionary
300	2004-01-29	min_ar_rev_dt	sawiktionary
301	2004-01-29	min_rev_dt	newiktionary
302	2004-01-29	min_rev_dt	hywiktionary
303	2004-01-29	min_ar_rev_dt	mnwiktionary
304	2004-01-29	min_rev_dt	sdwiktionary
305	2004-01-29	min_ar_rev_dt	lvwiktionary
306	2004-01-29	min_rev_dt	sgwiki
307	2004-01-29	min_rev_dt	tiwiktionary
308	2004-01-29	min_ar_rev_dt	sgwiktionary
309	2004-01-29	min_rev_dt	tiwiki
310	2004-01-29	min_rev_dt	smwiktionary
311	2004-01-29	min_ar_rev_dt	abwiktionary
312	2004-01-29	min_ar_rev_dt	aswiktionary
313	2004-01-29	min_ar_rev_dt	hawiktionary
314	2004-01-29	min_ar_rev_dt	aawiktionary
315	2004-01-29	min_rev_dt	azwiktionary
316	2004-01-29	min_rev_dt	uzwiktionary
317	2004-01-29	min_rev_dt	smwiki
318	2004-01-29	min_ar_rev_dt	mrwiktionary
319	2004-01-29	min_rev_dt	zuwiktionary
320	2004-01-29	min_ar_rev_dt	omwiktionary
321	2004-01-29	min_rev_dt	aywiktionary
322	2004-01-29	leart_ar_rev	siwiktionary
323	2004-01-29	min_ar_rev_dt	ndswiktionary
324	2004-01-29	min_rev_dt	guwiktionary
325	2004-01-29	min_ar_rev_dt	tewiktionary
326	2004-01-29	min_ar_rev_dt	gnwiktionary
327	2004-02-01	min_ar_rev_dt	kuwikibooks
328	2004-02-01	min_ar_rev_dt	kuwikiquote
329	2004-02-06	min_ar_rev_dt	dawikisource
330	2004-02-08	least_rev	kowikisource
331	2004-02-16	min_rev_dt	elwikisource
332	2004-02-18	min_rev_dt	etwikisource
333	2004-02-21	min_ar_rev_dt	plwikisource
334	2004-02-22	min_rev_dt	gawiktionary
335	2004-02-22	min_rev_dt	rwwiktionary
336	2004-02-24	min_ar_rev_dt	aawiki
337	2004-03-10	min_rev_dt	cswikiquote
338	2004-03-25	min_rev_dt	arwikisource
339	2004-03-26	min_ar_rev_dt	scnwiki
340	2004-04-01	min_rev_dt	itwikinews
341	2004-04-01	least_rev	csbwiki
342	2004-04-04	leart_ar_rev	iowiki
343	2004-04-04	min_rev_dt	iowiktionary
344	2004-04-04	leart_ar_rev	tpiwiktionary
345	2004-04-04	min_ar_rev_dt	tpiwiki
346	2004-04-10	leart_ar_rev	scwiki
347	2004-04-10	min_ar_rev_dt	scwiktionary
348	2004-04-13	min_rev_dt	ruwikinews
349	2004-04-16	min_rev_dt	fiwikisource
350	2004-05-15	min_ar_rev_dt	csbwiktionary
351	2004-05-22	min_ar_rev_dt	nowikisource
352	2004-05-24	least_rev	hrwikisource
353	2004-05-26	min_ar_rev_dt	roa_rupwiki
354	2004-05-26	least_rev	chrwiki
355	2004-05-28	min_ar_rev_dt	zh_min_nanwiki
356	2004-05-28	min_ar_rev_dt	ruwikibooks
357	2004-05-31	min_rev_dt	nywiki
358	2004-05-31	min_rev_dt	guwikiquote
359	2004-05-31	min_rev_dt	knwikisource
360	2004-05-31	min_rev_dt	chywiki
361	2004-06-05	leart_ar_rev	chrwiktionary
362	2004-06-11	min_rev_dt	kwwiki
363	2004-06-13	min_rev_dt	kwwiktionary
364	2004-06-23	min_rev_dt	brwiki
365	2004-06-29	min_rev_dt	newikibooks
366	2004-07-06	min_rev_dt	idwikiquote
367	2004-07-14	min_rev_dt	cywikisource
368	2004-07-17	min_rev_dt	plwikiquote
369	2004-07-17	min_ar_rev_dt	itwikiquote
370	2004-07-18	min_rev_dt	nlwikiquote
371	2004-07-18	min_rev_dt	bgwikiquote
372	2004-07-19	least_rev	zhwikiquote
373	2004-07-19	min_ar_rev_dt	nowikiquote
374	2004-07-20	least_rev	tawikiquote
375	2004-07-20	min_rev_dt	astwiki
376	2004-07-20	min_rev_dt	sewiki
377	2004-07-21	min_rev_dt	jawikiquote
378	2004-07-21	least_rev	lbwiki
379	2004-07-21	min_rev_dt	anwiki
380	2004-07-22	min_rev_dt	eowikibooks
381	2004-07-22	min_rev_dt	chwiktionary
382	2004-07-23	least_rev	eswikiquote
383	2004-07-23	min_ar_rev_dt	svwikibooks
384	2004-07-24	min_ar_rev_dt	lbwiktionary
385	2004-07-24	min_ar_rev_dt	brwiktionary
386	2004-07-26	least_rev	eewiki
387	2004-07-26	min_rev_dt	elwikiquote
388	2004-07-26	min_ar_rev_dt	etwikibooks
389	2004-07-26	least_rev	mtwiki
390	2004-07-27	min_rev_dt	nowikibooks
391	2004-07-27	min_rev_dt	svwikiquote
392	2004-07-27	least_rev	pawikibooks
393	2004-07-27	min_rev_dt	dawikibooks
394	2004-07-28	min_rev_dt	urwikibooks
395	2004-07-28	least_rev	kswikibooks
396	2004-07-28	least_rev	arcwiki
397	2004-07-28	least_rev	slwikibooks
398	2004-07-28	least_rev	gawikibooks
399	2004-07-29	min_rev_dt	fawikibooks
400	2004-07-29	min_rev_dt	chwiki
401	2004-07-29	min_rev_dt	zawiki
402	2004-07-29	least_rev	elwikibooks
403	2004-07-30	min_ar_rev_dt	kowikibooks
404	2004-07-30	min_rev_dt	bgwikibooks
405	2004-07-31	min_ar_rev_dt	srwikibooks
406	2004-07-31	min_rev_dt	idwikibooks
407	2004-07-31	min_rev_dt	nnwiki
408	2004-07-31	min_rev_dt	srwikiquote
409	2004-07-31	least_rev	zuwikibooks
410	2004-08-01	min_rev_dt	aswikibooks
411	2004-08-01	min_ar_rev_dt	ruwikiquote
412	2004-08-01	min_rev_dt	iswikibooks
413	2004-08-01	min_rev_dt	rowikiquote
414	2004-08-02	min_ar_rev_dt	rowikibooks
415	2004-08-02	min_ar_rev_dt	akwiki
416	2004-08-03	min_rev_dt	euwikibooks
417	2004-08-04	least_rev	simplewikiquote
418	2004-08-05	min_ar_rev_dt	krwiki
419	2004-08-05	least_rev	fiwikiquote
420	2004-08-05	min_ar_rev_dt	fiwikibooks
421	2004-08-05	min_ar_rev_dt	bowikibooks
422	2004-08-06	min_rev_dt	ptwikiquote
423	2004-08-06	min_ar_rev_dt	cswikibooks
424	2004-08-06	min_rev_dt	cswikisource
425	2004-08-06	min_rev_dt	iewiki
426	2004-08-07	min_rev_dt	swwikibooks
427	2004-08-07	min_ar_rev_dt	trwikibooks
428	2004-08-08	min_rev_dt	nahwikibooks
429	2004-08-08	min_rev_dt	ltwikibooks
430	2004-08-08	least_rev	jbowiki
431	2004-08-08	min_rev_dt	ltwikiquote
432	2004-08-08	min_rev_dt	kiwiki
433	2004-08-08	min_rev_dt	sawikibooks
434	2004-08-09	min_rev_dt	mlwikibooks
435	2004-08-09	min_rev_dt	dawikiquote
436	2004-08-09	min_rev_dt	tlwikibooks
437	2004-08-10	min_rev_dt	huwikibooks
438	2004-08-10	min_rev_dt	hrwikibooks
439	2004-08-10	min_rev_dt	bnwikibooks
440	2004-08-11	min_ar_rev_dt	srwikisource
441	2004-08-12	min_rev_dt	arwikibooks
442	2004-08-12	min_ar_rev_dt	astwiktionary
443	2004-08-13	min_rev_dt	cawikinews
444	2004-08-13	min_rev_dt	tewikibooks
445	2004-08-13	min_rev_dt	aawikibooks
446	2004-08-15	min_rev_dt	afwikibooks
447	2004-08-15	min_rev_dt	mrwikibooks
448	2004-08-17	least_rev	cowikibooks
449	2004-08-17	min_rev_dt	lvwikibooks
450	2004-08-18	min_rev_dt	tawikibooks
451	2004-08-18	min_rev_dt	ukwikibooks
452	2004-08-18	min_rev_dt	ukwikiquote
453	2004-08-20	min_rev_dt	ndswikibooks
454	2004-08-21	min_rev_dt	viwikisource
455	2004-08-21	min_ar_rev_dt	lnwikibooks
456	2004-08-22	min_rev_dt	thwikiquote
457	2004-08-22	min_rev_dt	thwikibooks
458	2004-08-23	min_rev_dt	gawikiquote
459	2004-08-23	min_rev_dt	iewiktionary
460	2004-08-24	min_rev_dt	knwikibooks
