,database_code,domain_name,database_group,language_code,language_name,status,visibility,editability,english_name,git_created_dt,git_closed_dt
0,aawiki,aa.wikipedia.org,wikipedia,aa,Afar,closed,public,public,Afar Wikipedia,2012-02-24,2012-02-24
1,aawikibooks,aa.wikibooks.org,wikibooks,aa,Afar,closed,public,public,Afar Wikibooks,2012-02-24,2012-02-24
2,aawiktionary,aa.wiktionary.org,wiktionary,aa,Afar,closed,public,public,Afar Wiktionary,2012-02-24,2012-02-24
3,abwiki,ab.wikipedia.org,wikipedia,ab,Abkhazian,open,public,public,Abkhazian Wikipedia,2012-02-24,
4,abwiktionary,ab.wiktionary.org,wiktionary,ab,Abkhazian,closed,public,public,Abkhazian Wiktionary,2012-02-24,2012-02-24
5,acewiki,ace.wikipedia.org,wikipedia,ace,Achinese,open,public,public,Achinese Wikipedia,2012-05-08,
6,adywiki,ady.wikipedia.org,wikipedia,ady,Adyghe,open,public,public,Adyghe Wikipedia,2016-02-02,
7,afwiki,af.wikipedia.org,wikipedia,af,Afrikaans,open,public,public,Afrikaans Wikipedia,2012-02-24,
8,afwikibooks,af.wikibooks.org,wikibooks,af,Afrikaans,open,public,public,Afrikaans Wikibooks,2012-02-24,
9,afwikiquote,af.wikiquote.org,wikiquote,af,Afrikaans,open,public,public,Afrikaans Wikiquote,2012-02-24,
10,afwiktionary,af.wiktionary.org,wiktionary,af,Afrikaans,open,public,public,Afrikaans Wiktionary,2012-02-24,
11,akwiki,ak.wikipedia.org,wikipedia,ak,Akan,open,public,public,Akan Wikipedia,2012-02-24,2023-05-16
12,akwikibooks,ak.wikibooks.org,wikibooks,ak,Akan,closed,public,public,Akan Wikibooks,2012-02-24,2012-02-24
13,akwiktionary,ak.wiktionary.org,wiktionary,ak,Akan,closed,public,public,Akan Wiktionary,2012-02-24,2012-02-24
14,alswiki,als.wikipedia.org,wikipedia,als,Alsatian,open,public,public,Alemannisch Wikipedia,2012-02-24,
15,altwiki,alt.wikipedia.org,wikipedia,alt,Southern Altai,open,public,public,Altai Wikipedia,2021-02-22,
16,amiwiki,ami.wikipedia.org,wikipedia,ami,Amis,open,public,public,Amis Wikipedia,2021-10-23,
17,amwiki,am.wikipedia.org,wikipedia,am,Amharic,open,public,public,Amharic Wikipedia,2012-02-24,
18,amwikiquote,am.wikiquote.org,wikiquote,am,Amharic,closed,public,public,Amharic Wikiquote,2012-02-24,2013-07-23
19,amwiktionary,am.wiktionary.org,wiktionary,am,Amharic,open,public,public,Amharic Wiktionary,2012-02-24,
20,angwiki,ang.wikipedia.org,wikipedia,ang,Old English,open,public,public,Old English Wikipedia,2012-02-24,
21,angwikibooks,ang.wikibooks.org,wikibooks,ang,Old English,closed,public,public,Old English Wikibooks,2012-02-24,2014-12-17
22,angwikiquote,ang.wikiquote.org,wikiquote,ang,Old English,closed,public,public,Old English Wikiquote,2012-02-24,2012-02-24
23,angwikisource,ang.wikisource.org,wikisource,ang,Old English,closed,public,public,Old English Wikisource,2012-02-24,2012-05-16
24,angwiktionary,ang.wiktionary.org,wiktionary,ang,Old English,open,public,public,Old English Wiktionary,2012-02-24,
25,anpwiki,anp.wikipedia.org,wikipedia,anp,Angika,open,public,public,Angika Wikipedia,2023-03-22,
26,anwiki,an.wikipedia.org,wikipedia,an,Aragonese,open,public,public,Aragonese Wikipedia,2012-02-24,
27,anwiktionary,an.wiktionary.org,wiktionary,an,Aragonese,open,public,public,Aragonese Wiktionary,2012-02-24,
28,arcwiki,arc.wikipedia.org,wikipedia,arc,Aramaic,open,public,public,Syriac Wikipedia,2012-02-24,
29,arwiki,ar.wikipedia.org,wikipedia,ar,Arabic,open,public,public,Arabic Wikipedia,2012-02-24,
30,arwikibooks,ar.wikibooks.org,wikibooks,ar,Arabic,open,public,public,Arabic Wikibooks,2012-02-24,
31,arwikinews,ar.wikinews.org,wikinews,ar,Arabic,open,public,public,Arabic Wikinews,2012-02-24,
32,arwikiquote,ar.wikiquote.org,wikiquote,ar,Arabic,open,public,public,Arabic Wikiquote,2012-02-24,
33,arwikisource,ar.wikisource.org,wikisource,ar,Arabic,open,public,public,Arabic Wikisource,2012-02-24,
34,arwikiversity,ar.wikiversity.org,wikiversity,ar,Arabic,open,public,public,Arabic Wikiversity,2012-05-08,
35,arwiktionary,ar.wiktionary.org,wiktionary,ar,Arabic,open,public,public,Arabic Wiktionary,2012-02-24,
36,arywiki,ary.wikipedia.org,wikipedia,ary,Moroccan Arabic,open,public,public,Moroccan Arabic Wikipedia,2020-07-12,
37,arzwiki,arz.wikipedia.org,wikipedia,arz,Egyptian Arabic,open,public,public,Egyptian Arabic Wikipedia,2012-02-24,
38,astwiki,ast.wikipedia.org,wikipedia,ast,Asturian,open,public,public,Asturian Wikipedia,2012-02-24,
39,astwikibooks,ast.wikibooks.org,wikibooks,ast,Asturian,closed,public,public,Asturian Wikibooks,2012-02-24,2012-02-24
40,astwikiquote,ast.wikiquote.org,wikiquote,ast,Asturian,closed,public,public,Asturian Wikiquote,2012-02-24,2012-02-24
41,astwiktionary,ast.wiktionary.org,wiktionary,ast,Asturian,open,public,public,Asturian Wiktionary,2012-02-24,
42,aswiki,as.wikipedia.org,wikipedia,as,Assamese,open,public,public,Assamese Wikipedia,2012-02-24,
43,aswikibooks,as.wikibooks.org,wikibooks,as,Assamese,closed,public,public,Assamese Wikibooks,2012-02-24,2012-05-16
44,aswikiquote,as.wikiquote.org,wikiquote,as,Assamese,open,public,public,Assamese Wikiquote,2023-01-04,
45,aswikisource,as.wikisource.org,wikisource,as,Assamese,open,public,public,Assamese Wikisource,2013-01-03,
46,aswiktionary,as.wiktionary.org,wiktionary,as,Assamese,closed,public,public,Assamese Wiktionary,2012-02-24,2012-05-16
47,atjwiki,atj.wikipedia.org,wikipedia,atj,Atikamekw,open,public,public,Atikamekw Wikipedia,2017-06-14,
48,avkwiki,avk.wikipedia.org,wikipedia,avk,Kotava,open,public,public,Kotava Wikipedia,2020-07-15,
49,avwiki,av.wikipedia.org,wikipedia,av,Avaric,open,public,public,Avaric Wikipedia,2012-02-24,
50,avwiktionary,av.wiktionary.org,wiktionary,av,Avaric,closed,public,public,Avaric Wiktionary,2012-02-24,2012-02-24
51,awawiki,awa.wikipedia.org,wikipedia,awa,Awadhi,open,public,public,Awadhi Wikipedia,2020-05-01,
52,aywiki,ay.wikipedia.org,wikipedia,ay,Aymara,open,public,public,Aymara Wikipedia,2012-02-24,
53,aywikibooks,ay.wikibooks.org,wikibooks,ay,Aymara,closed,public,public,Aymara Wikibooks,2012-02-24,2012-02-24
54,aywiktionary,ay.wiktionary.org,wiktionary,ay,Aymara,open,public,public,Aymara Wiktionary,2012-02-24,
55,azbwiki,azb.wikipedia.org,wikipedia,azb,South Azerbaijani,open,public,public,South Azerbaijani Wikipedia,2017-08-29,
56,azwiki,az.wikipedia.org,wikipedia,az,Azerbaijani,open,public,public,Azerbaijani Wikipedia,2012-02-24,
57,azwikibooks,az.wikibooks.org,wikibooks,az,Azerbaijani,open,public,public,Azerbaijani Wikibooks,2012-02-24,
58,azwikiquote,az.wikiquote.org,wikiquote,az,Azerbaijani,open,public,public,Azerbaijani Wikiquote,2012-02-24,
59,azwikisource,az.wikisource.org,wikisource,az,Azerbaijani,open,public,public,Azerbaijani Wikisource,2012-02-24,
60,azwiktionary,az.wiktionary.org,wiktionary,az,Azerbaijani,open,public,public,Azerbaijani Wiktionary,2012-02-24,
61,banwiki,ban.wikipedia.org,wikipedia,ban,Balinese,open,public,public,Balinese Wikipedia,2019-10-08,
62,banwikisource,ban.wikisource.org,wikisource,ban,Balinese,open,public,public,Balinese Wikisource,2021-06-30,
63,barwiki,bar.wikipedia.org,wikipedia,bar,Bavarian,open,public,public,Bavarian Wikipedia,2012-02-24,
64,bat_smgwiki,bat-smg.wikipedia.org,wikipedia,bat-smg,Samogitian,open,public,public,Samogitian Wikipedia,2012-02-24,
65,bawiki,ba.wikipedia.org,wikipedia,ba,Bashkir,open,public,public,Bashkir Wikipedia,2012-02-24,
66,bawikibooks,ba.wikibooks.org,wikibooks,ba,Bashkir,open,public,public,Bashkir Wikibooks,2012-02-24,
67,bclwiki,bcl.wikipedia.org,wikipedia,bcl,Central Bikol,open,public,public,Bikol Central Wikipedia,2012-05-08,
68,bclwikiquote,bcl.wikiquote.org,wikiquote,bcl,Central Bikol,open,public,public,Central Bikol Wikiquote,2022-10-10,
69,bclwiktionary,bcl.wiktionary.org,wiktionary,bcl,Central Bikol,open,public,public,Central Bikol Wiktionary,2021-01-11,
70,be_x_oldwiki,be-tarask.wikipedia.org,wikipedia,be-x-old,Belarusian (Taraškievica orthography),open,public,public,Belarusian (Taraškievica) Wikipedia,2018-04-27,
71,bewiki,be.wikipedia.org,wikipedia,be,Belarusian,open,public,public,Belarusian Wikipedia,2012-02-24,
72,bewikibooks,be.wikibooks.org,wikibooks,be,Belarusian,open,public,public,Belarusian Wikibooks,2012-02-24,
73,bewikiquote,be.wikiquote.org,wikiquote,be,Belarusian,open,public,public,Belarusian Wikiquote,2012-02-24,
74,bewikisource,be.wikisource.org,wikisource,be,Belarusian,open,public,public,Belarusian Wikisource,2012-05-08,
75,bewiktionary,be.wiktionary.org,wiktionary,be,Belarusian,open,public,public,Belarusian Wiktionary,2012-02-24,
76,bgwiki,bg.wikipedia.org,wikipedia,bg,Bulgarian,open,public,public,Bulgarian Wikipedia,2012-02-24,
77,bgwikibooks,bg.wikibooks.org,wikibooks,bg,Bulgarian,open,public,public,Bulgarian Wikibooks,2012-02-24,
78,bgwikinews,bg.wikinews.org,wikinews,bg,Bulgarian,closed,public,public,Bulgarian Wikinews,2012-02-24,2019-09-23
79,bgwikiquote,bg.wikiquote.org,wikiquote,bg,Bulgarian,open,public,public,Bulgarian Wikiquote,2012-02-24,
80,bgwikisource,bg.wikisource.org,wikisource,bg,Bulgarian,open,public,public,Bulgarian Wikisource,2012-02-24,
81,bgwiktionary,bg.wiktionary.org,wiktionary,bg,Bulgarian,open,public,public,Bulgarian Wiktionary,2012-02-24,
82,bhwiki,bh.wikipedia.org,wikipedia,bh,Bhojpuri,open,public,public,Bhojpuri Wikipedia,2012-02-24,
83,bhwiktionary,bh.wiktionary.org,wiktionary,bh,Bhojpuri,closed,public,public,Bhojpuri Wiktionary,2012-02-24,2012-02-24
84,biwiki,bi.wikipedia.org,wikipedia,bi,Bislama,open,public,public,Bislama Wikipedia,2012-02-24,
85,biwikibooks,bi.wikibooks.org,wikibooks,bi,Bislama,closed,public,public,Bislama Wikibooks,2012-02-24,2012-02-24
86,biwiktionary,bi.wiktionary.org,wiktionary,bi,Bislama,closed,public,public,Bislama Wiktionary,2012-02-24,2012-05-16
87,bjnwiki,bjn.wikipedia.org,wikipedia,bjn,Banjar,open,public,public,Banjar Wikipedia,2012-05-08,
88,bjnwiktionary,bjn.wiktionary.org,wiktionary,bjn,Banjar,open,public,public,Banjar Wiktionary,2022-07-19,
89,blkwiki,blk.wikipedia.org,wikipedia,blk,Pa'O,open,public,public,Pa'O Wikipedia,2022-07-19,
90,bmwiki,bm.wikipedia.org,wikipedia,bm,Bambara,open,public,public,Bambara Wikipedia,2012-02-24,
91,bmwikibooks,bm.wikibooks.org,wikibooks,bm,Bambara,closed,public,public,Bambara Wikibooks,2012-02-24,2012-02-24
92,bmwikiquote,bm.wikiquote.org,wikiquote,bm,Bambara,closed,public,public,Bambara Wikiquote,2012-02-24,2012-02-24
93,bmwiktionary,bm.wiktionary.org,wiktionary,bm,Bambara,closed,public,public,Bambara Wiktionary,2012-02-24,2012-02-24
94,bnwiki,bn.wikipedia.org,wikipedia,bn,Bangla,open,public,public,Bengali Wikipedia,2012-02-24,
95,bnwikibooks,bn.wikibooks.org,wikibooks,bn,Bangla,open,public,public,Bengali Wikibooks,2012-02-24,
96,bnwikiquote,bn.wikiquote.org,wikiquote,bn,Bangla,open,public,public,Bengali Wikiquote,2022-10-10,
97,bnwikisource,bn.wikisource.org,wikisource,bn,Bangla,open,public,public,Bengali Wikisource,2012-05-08,
98,bnwikivoyage,bn.wikivoyage.org,wikivoyage,bn,Bangla,open,public,public,Bengali Wikivoyage,2018-06-05,
99,bnwiktionary,bn.wiktionary.org,wiktionary,bn,Bangla,open,public,public,Bengali Wiktionary,2012-02-24,
100,bowiki,bo.wikipedia.org,wikipedia,bo,Tibetan,open,public,public,Tibetan Wikipedia,2012-02-24,
101,bowikibooks,bo.wikibooks.org,wikibooks,bo,Tibetan,closed,public,public,Tibetan Wikibooks,2012-02-24,2012-02-24
102,bowiktionary,bo.wiktionary.org,wiktionary,bo,Tibetan,closed,public,public,Tibetan Wiktionary,2012-02-24,2012-02-24
103,bpywiki,bpy.wikipedia.org,wikipedia,bpy,Bishnupriya,open,public,public,Bishnupriya Wikipedia,2012-02-24,
104,brwiki,br.wikipedia.org,wikipedia,br,Breton,open,public,public,Breton Wikipedia,2012-02-24,
105,brwikiquote,br.wikiquote.org,wikiquote,br,Breton,open,public,public,Breton Wikiquote,2012-05-08,
106,brwikisource,br.wikisource.org,wikisource,br,Breton,open,public,public,Breton Wikisource,2012-05-08,
107,brwiktionary,br.wiktionary.org,wiktionary,br,Breton,open,public,public,Breton Wiktionary,2012-02-24,
108,bswiki,bs.wikipedia.org,wikipedia,bs,Bosnian,open,public,public,Bosnian Wikipedia,2012-02-24,
109,bswikibooks,bs.wikibooks.org,wikibooks,bs,Bosnian,open,public,public,Bosnian Wikibooks,2012-02-24,
110,bswikinews,bs.wikinews.org,wikinews,bs,Bosnian,open,public,public,Bosnian Wikinews,2012-02-24,
111,bswikiquote,bs.wikiquote.org,wikiquote,bs,Bosnian,open,public,public,Bosnian Wikiquote,2012-02-24,
112,bswikisource,bs.wikisource.org,wikisource,bs,Bosnian,open,public,public,Bosnian Wikisource,2012-02-24,
113,bswiktionary,bs.wiktionary.org,wiktionary,bs,Bosnian,open,public,public,Bosnian Wiktionary,2012-02-24,
114,bugwiki,bug.wikipedia.org,wikipedia,bug,Buginese,open,public,public,Buginese Wikipedia,2012-02-24,
115,bxrwiki,bxr.wikipedia.org,wikipedia,bxr,Russia Buriat,open,public,public,Buryat Wikipedia,2012-02-24,
116,cawiki,ca.wikipedia.org,wikipedia,ca,Catalan,open,public,public,Catalan Wikipedia,2012-02-24,
117,cawikibooks,ca.wikibooks.org,wikibooks,ca,Catalan,open,public,public,Catalan Wikibooks,2012-02-24,
118,cawikinews,ca.wikinews.org,wikinews,ca,Catalan,open,public,public,Catalan Wikinews,2012-02-24,
119,cawikiquote,ca.wikiquote.org,wikiquote,ca,Catalan,open,public,public,Catalan Wikiquote,2012-02-24,
120,cawikisource,ca.wikisource.org,wikisource,ca,Catalan,open,public,public,Catalan Wikisource,2012-02-24,
121,cawiktionary,ca.wiktionary.org,wiktionary,ca,Catalan,open,public,public,Catalan Wiktionary,2012-02-24,
122,cbk_zamwiki,cbk-zam.wikipedia.org,wikipedia,cbk-zam,Chavacano,open,public,public,Chavacano de Zamboanga Wikipedia,2012-02-24,
123,cdowiki,cdo.wikipedia.org,wikipedia,cdo,Min Dong Chinese,open,public,public,Min Dong Chinese Wikipedia,2012-02-24,
124,cebwiki,ceb.wikipedia.org,wikipedia,ceb,Cebuano,open,public,public,Cebuano Wikipedia,2012-02-24,
125,cewiki,ce.wikipedia.org,wikipedia,ce,Chechen,open,public,public,Chechen Wikipedia,2012-02-24,
126,chowiki,cho.wikipedia.org,wikipedia,cho,Choctaw,closed,public,public,Choctaw Wikipedia,2012-02-24,2012-02-24
127,chrwiki,chr.wikipedia.org,wikipedia,chr,Cherokee,open,public,public,Cherokee Wikipedia,2012-02-24,
128,chrwiktionary,chr.wiktionary.org,wiktionary,chr,Cherokee,open,public,public,Cherokee Wiktionary,2012-02-24,
129,chwiki,ch.wikipedia.org,wikipedia,ch,Chamorro,open,public,public,Chamorro Wikipedia,2012-02-24,
130,chwikibooks,ch.wikibooks.org,wikibooks,ch,Chamorro,closed,public,public,Chamorro Wikibooks,2012-02-24,2012-02-24
131,chwiktionary,ch.wiktionary.org,wiktionary,ch,Chamorro,closed,public,public,Chamorro Wiktionary,2012-02-24,2012-02-24
132,chywiki,chy.wikipedia.org,wikipedia,chy,Cheyenne,open,public,public,Cheyenne Wikipedia,2012-02-24,
133,ckbwiki,ckb.wikipedia.org,wikipedia,ckb,Central Kurdish,open,public,public,Central Kurdish Wikipedia,2012-05-08,
134,commonswiki,commons.wikimedia.org,commons,en,English,open,public,public,Wikimedia Commons,2012-02-24,
135,cowiki,co.wikipedia.org,wikipedia,co,Corsican,open,public,public,Corsican Wikipedia,2012-02-24,
136,cowikibooks,co.wikibooks.org,wikibooks,co,Corsican,closed,public,public,Corsican Wikibooks,2012-02-24,2012-02-24
137,cowikiquote,co.wikiquote.org,wikiquote,co,Corsican,closed,public,public,Corsican Wikiquote,2012-02-24,2012-02-24
138,cowiktionary,co.wiktionary.org,wiktionary,co,Corsican,open,public,public,Corsican Wiktionary,2012-02-24,
139,crhwiki,crh.wikipedia.org,wikipedia,crh,Crimean Tatar,open,public,public,Crimean Tatar Wikipedia,2012-05-08,
140,crwiki,cr.wikipedia.org,wikipedia,cr,Cree,open,public,public,Cree Wikipedia,2012-02-24,
141,crwikiquote,cr.wikiquote.org,wikiquote,cr,Cree,closed,public,public,Cree Wikiquote,2012-02-24,2012-02-24
142,crwiktionary,cr.wiktionary.org,wiktionary,cr,Cree,closed,public,public,Cree Wiktionary,2012-02-24,2012-02-24
143,csbwiki,csb.wikipedia.org,wikipedia,csb,Kashubian,open,public,public,Kashubian Wikipedia,2012-02-24,
144,csbwiktionary,csb.wiktionary.org,wiktionary,csb,Kashubian,open,public,public,Kashubian Wiktionary,2012-02-24,
145,cswiki,cs.wikipedia.org,wikipedia,cs,Czech,open,public,public,Czech Wikipedia,2012-02-24,
146,cswikibooks,cs.wikibooks.org,wikibooks,cs,Czech,open,public,public,Czech Wikibooks,2012-02-24,
147,cswikinews,cs.wikinews.org,wikinews,cs,Czech,open,public,public,Czech Wikinews,2012-05-08,
148,cswikiquote,cs.wikiquote.org,wikiquote,cs,Czech,open,public,public,Czech Wikiquote,2012-02-24,
149,cswikisource,cs.wikisource.org,wikisource,cs,Czech,open,public,public,Czech Wikisource,2012-02-24,
150,cswikiversity,cs.wikiversity.org,wikiversity,cs,Czech,open,public,public,Czech Wikiversity,2012-05-08,
151,cswiktionary,cs.wiktionary.org,wiktionary,cs,Czech,open,public,public,Czech Wiktionary,2012-02-24,
152,cuwiki,cu.wikipedia.org,wikipedia,cu,Church Slavic,open,public,public,Church Slavic Wikipedia,2012-02-24,
153,cvwiki,cv.wikipedia.org,wikipedia,cv,Chuvash,open,public,public,Chuvash Wikipedia,2012-02-24,
154,cvwikibooks,cv.wikibooks.org,wikibooks,cv,Chuvash,open,public,public,Chuvash Wikibooks,2012-02-24,
155,cywiki,cy.wikipedia.org,wikipedia,cy,Welsh,open,public,public,Welsh Wikipedia,2012-02-24,
156,cywikibooks,cy.wikibooks.org,wikibooks,cy,Welsh,open,public,public,Welsh Wikibooks,2012-02-24,
157,cywikiquote,cy.wikiquote.org,wikiquote,cy,Welsh,open,public,public,Welsh Wikiquote,2012-02-24,
158,cywikisource,cy.wikisource.org,wikisource,cy,Welsh,open,public,public,Welsh Wikisource,2012-02-24,
159,cywiktionary,cy.wiktionary.org,wiktionary,cy,Welsh,open,public,public,Welsh Wiktionary,2012-02-24,
160,dagwiki,dag.wikipedia.org,wikipedia,dag,Dagbani,open,public,public,Dagbani Wikipedia,2021-06-30,
161,dawiki,da.wikipedia.org,wikipedia,da,Danish,open,public,public,Danish Wikipedia,2012-02-24,
162,dawikibooks,da.wikibooks.org,wikibooks,da,Danish,open,public,public,Danish Wikibooks,2012-02-24,
163,dawikiquote,da.wikiquote.org,wikiquote,da,Danish,open,public,public,Danish Wikiquote,2012-02-24,
164,dawikisource,da.wikisource.org,wikisource,da,Danish,open,public,public,Danish Wikisource,2012-02-24,
165,dawiktionary,da.wiktionary.org,wiktionary,da,Danish,open,public,public,Danish Wiktionary,2012-02-24,
166,dewiki,de.wikipedia.org,wikipedia,de,German,open,public,public,German Wikipedia,2012-02-24,
167,dewikibooks,de.wikibooks.org,wikibooks,de,German,open,public,public,German Wikibooks,2012-02-24,
168,dewikinews,de.wikinews.org,wikinews,de,German,open,public,public,German Wikinews,2012-02-24,
169,dewikiquote,de.wikiquote.org,wikiquote,de,German,open,public,public,German Wikiquote,2012-02-24,
170,dewikisource,de.wikisource.org,wikisource,de,German,open,public,public,German Wikisource,2012-02-24,
171,dewikiversity,de.wikiversity.org,wikiversity,de,German,open,public,public,German Wikiversity,2012-02-24,
172,dewikivoyage,de.wikivoyage.org,wikivoyage,de,German,open,public,public,German Wikivoyage,2012-11-06,
173,dewiktionary,de.wiktionary.org,wiktionary,de,German,open,public,public,German Wiktionary,2012-02-24,
174,dinwiki,din.wikipedia.org,wikipedia,din,Dinka,open,public,public,Dinka Wikipedia,2017-06-29,
