date,domain_name
30 September 2006,bar.wikipedia.org
30 September 2006,bpy.wikipedia.org
30 September 2006,bxr.wikipedia.org
30 September 2006,cdo.wikipedia.org
30 September 2006,cbk-zam.wikipedia.org
30 September 2006,cu.wikipedia.org
30 September 2006,diq.wikipedia.org
30 September 2006,eml.wikipedia.org
30 September 2006,hsb.wikipedia.org
30 September 2006,mzn.wikipedia.org
30 September 2006,nov.wikipedia.org
30 September 2006,new.wikipedia.org
30 September 2006,pag.wikipedia.org
30 September 2006,roa-tara.wikipedia.org
30 September 2006,wuu.wikipedia.org
30 September 2006,zea.wikipedia.org
30 September 2006,zh-classical.wikipedia.org
27 March 2007,be.wikipedia.org
6 May 2007,kab.wikipedia.org
8 May 2007,ta.wikisource.org
25 May 2007,it.wikiversity.org
27 May 2007,hak.wikipedia.org
25 September 2007,bn.wikisource.org
25 September 2007,hsb.wiktionary.org
24 November 2007,bcl.wikipedia.org
24 November 2007,br.wikiquote.org
24 November 2007,li.wikiquote.org
24 November 2007,hy.wikisource.org
24 November 2007,fi.wikinews.org
12 January 2008,dsb.wikipedia.org
12 January 2008,crh.wikipedia.org
12 January 2008,stq.wikipedia.org
12 January 2008,el.wikiversity.org
26 May 2008,cs.wikinews.org
26 May 2008,hu.wikinews.org
26 May 2008,ext.wikipedia.org
26 May 2008,gan.wikipedia.org
26 May 2008,hif.wikipedia.org
26 May 2008,kaa.wikipedia.org
26 May 2008,mdf.wikipedia.org
26 May 2008,myv.wikipedia.org
26 May 2008,sah.wikipedia.org
26 May 2008,srn.wikipedia.org
26 May 2008,szl.wikipedia.org
26 May 2008,li.wikisource.org
26 May 2008,cs.wikiversity.org
26 May 2008,ja.wikiversity.org
26 May 2008,pt.wikiversity.org
24 November 2008,arz.wikipedia.org
5 March 2009,pnt.wikipedia.org
6 April 2009,fi.wikiversity.org
9 July 2009,mhr.wikipedia.org
12 August 2009,ckb.wikipedia.org
12 August 2009,pnb.wikipedia.org
12 August 2009,mwl.wikipedia.org
12 August 2009,ace.wikipedia.org
12 August 2009,tr.wikinews.org
12 November 2009,ru.wikiversity.org
24 December 2009,pcd.wikipedia.org
19 March 2010,krc.wikipedia.org